Rutuja Ritu Uddhav Varad Kedar
input_file input

1 create 	 createkey_word_
1 table 	 tablekey_word_
1 station 	 variable_name
2 ( 	 open_bracket
2 id 	 variable_name
2 integer 	 variable_name
2 primarykey 	 variable_name
2 , 	 comma
3 city 	 variable_name
3 char 	 chardata_type_
3 ( 	 open_bracket
3 20 	 num
3 ) 	 close_bracket
3 , 	 comma
4 lat_n 	 variable_name
4 real 	 variable_name
4 , 	 comma
5 long_w 	 variable_name
5 real 	 variable_name
5 ) 	 close_bracket
5 ; 	 semi_colon
7 insert 	 insertkey_word_
7 into 	 intokey_word_
7 station 	 variable_name
7 values 	 variable_name
7 ( 	 open_bracket
7 13 	 num
7 , 	 comma
7 'phoenix' 	 invalid
7 , 	 comma
7 33 	 num
7 , 	 comma
7 112 	 num
7 ) 	 close_bracket
7 ; 	 semi_colon
8 insert 	 insertkey_word_
8 into 	 intokey_word_
8 station 	 variable_name
8 values 	 variable_name
8 ( 	 open_bracket
8 44 	 num
8 , 	 comma
8 'denver' 	 invalid
8 , 	 comma
8 40 	 num
8 , 	 comma
8 105 	 num
8 ) 	 close_bracket
8 ; 	 semi_colon
9 insert 	 insertkey_word_
9 into 	 intokey_word_
9 station 	 variable_name
9 values 	 variable_name
9 ( 	 open_bracket
9 66 	 num
9 , 	 comma
9 'caribou' 	 invalid
9 , 	 comma
9 47 	 num
9 , 	 comma
9 68 	 num
9 ) 	 close_bracket
9 ; 	 semi_colon
11 select 	 selectkey_word_
11 id 	 variable_name
11 , 	 comma
11 city 	 variable_name
11 from 	 fromkey_word_
11 station 	 variable_name
12 where 	 wherekey_word_
12 lat_n 	 variable_name
12 > 	 relop
12 39 	 num
12 . 	 dot
12 7 	 num
12 ; 	 semi_colon
